source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Exactly 100 years ago today on November 11th 1918 World War I came to an end. We are gathered together at this hallowed resting place to pay tribute to the brave Americans who gave their last breath in that mighty struggle.... https://t.co/JPUkOr4rW1,11-12-2018 04:38:00,9760,37157,FALSE,1.0618405110263E+018
Twitter for iPhone,RT @FLOTUS: Today we remember the brave actions of our troops and those of our allies during WWI. Honored to be spending this day honoring…,11-11-2018 20:55:38,13868,0,TRUE,1.06172415433911E+018
Twitter for iPhone,Poland a great country - Congratulations on the 100th Anniversary of your Independence. I will never forget my time there! https://t.co/gEme6McF1x,11-11-2018 16:03:35,20115,86247,FALSE,1.06165065419475E+018
Twitter for iPhone,RT @WhiteHouse: President Trump Attends the American Commemoration Ceremony at Suresnes American Cemetery https://t.co/P6PgE1zXuE,11-11-2018 15:43:49,10505,0,TRUE,1.0616456796034E+018
Twitter for iPhone,Beautiful ceremony today in Paris commemorating the end of World War One. Many World leaders in attendance. Thank you to @EmmanuelMacron President of France! Now off to Suresnes American Cemetery to make speech in honor of our great heroes! Then back to the U.S.A.,11-11-2018 14:52:56,16990,81450,FALSE,1.06163287480852E+018
Twitter for iPhone,On this Veterans Day — the 100th Anniversary of the end of WWI we honor the brave HEROES who fought for America in the Great War and every Veteran who has worn the uniform and kept our Nation Safe Strong and FREE! https://t.co/zBvvYRR7XE https://t.co/YO06ztfvNm,11-11-2018 14:16:42,18423,65572,FALSE,1.06162375816163E+018
Twitter for iPhone,With proper Forest Management we can stop the devastation constantly going on in California. Get Smart!,11-11-2018 09:40:50,20269,95367,FALSE,1.06155433427675E+018
Twitter for iPhone,These California fires are expanding very very quickly (in some cases 80-100 acres a minute). If people don’t evacuate quickly they risk being overtaken by the fire. Please listen to evacuation orders from State and local officials!,11-10-2018 22:20:40,19830,81079,FALSE,1.06138316381189E+018
Twitter for iPhone,More than 4000 are fighting the Camp and Woolsey Fires in California that have burned over 170000 acres. Our hearts are with those fighting the fires the 52000 who have evacuated and the families of the 11 who have died. The destruction is catastrophic. God Bless them all.,11-10-2018 22:19:35,23753,111710,FALSE,1.0613828901E+018
Twitter for iPhone,Trying to STEAL two big elections in Florida! We are watching closely!,11-10-2018 19:09:29,30204,112792,FALSE,1.06133505129473E+018
Twitter for iPhone,Had very productive meetings and calls for our Country today. Meeting tonight with World Leaders!,11-10-2018 19:06:50,15659,82876,FALSE,1.0613343843374E+018
Twitter for iPhone,Happy 243rd Birthday to our GREAT U.S. Marine Corps🇺🇸 https://t.co/1cPtoMfmxP,11-10-2018 14:09:42,23011,97186,FALSE,1.06125960708611E+018
Twitter for iPhone,I am in Paris getting ready to celebrate the end of World War One. Is there anything better to celebrate than the end of a war in particular that one which was one of the bloodiest and worst of all time?,11-10-2018 08:17:44,24533,136531,FALSE,1.06117103080116E+018
Twitter for iPhone,There is no reason for these massive deadly and costly forest fires in California except that forest management is so poor. Billions of dollars are given each year with so many lives lost all because of gross mismanagement of the forests. Remedy now or no more Fed payments!,11-10-2018 08:08:52,27771,119392,FALSE,1.06116880321895E+018
Twitter for iPhone,....Mr. Whitaker is very highly thought of by @SenJoniErnst Senator @ChuckGrassley Ambassador @TerryBranstad Leonard Leo of Federalist Society and many more. I feel certain he will make an outstanding Acting Attorney General!,11-10-2018 04:04:53,14096,57506,FALSE,1.06110739942622E+018
Twitter for iPhone,Matthew G. Whitaker is a highly respected former U.S. Attorney from Iowa. He was chosen by Jeff Sessions to be his Chief of Staff. I did not know Mr. Whitaker. Likewise as Chief I did not know Mr. Whitaker except primarily as he traveled with A.G. Sessions. No social contact...,11-10-2018 03:52:16,17842,72839,FALSE,1.06110422409063E+018
Twitter for iPhone,President Macron of France has just suggested that Europe build its own military in order to protect itself from the U.S. China and Russia. Very insulting but perhaps Europe should first pay its fair share of NATO which the U.S. subsidizes greatly!,11-09-2018 21:10:46,39507,144464,FALSE,1.06100318612586E+018
Twitter for iPhone,Just out — in Arizona SIGNATURES DON’T MATCH. Electoral corruption - Call for a new Election? We must protect our Democracy!,11-09-2018 20:33:37,49930,159277,FALSE,1.06099383698432E+018
Twitter for iPhone,Thank you @marcorubio for helping to expose the potential corruption going on with respect to Election Theft in Broward and Palm Beach Counties. The WORLD is now watching closely!,11-09-2018 18:39:00,29506,103772,FALSE,1.06096499151011E+018
Twitter for iPhone,In the 2016 Election I was winning by so much in Florida that Broward County which was very late with vote tabulation and probably getting ready to do a “number” couldn’t do it because not enough people live in Broward for them to falsify a victory!,11-09-2018 18:20:28,22552,83053,FALSE,1.0609603298767E+018
Twitter for iPhone,Mayor Gillum conceded on Election Day and now Broward County has put him “back into play.” Bill Nelson conceded Election - now he’s back in play!? This is an embarrassment to our Country and to Democracy!,11-09-2018 18:14:03,35464,125544,FALSE,1.06095871304796E+018
Twitter for iPhone,Rick Scott was up by 50000+ votes on Election Day now they “found” many votes and he is only up 15000 votes. “The Broward Effect.” How come they never find Republican votes?,11-09-2018 17:36:38,33113,110056,FALSE,1.06094929790083E+018
Twitter for iPhone,Jeff Flake(y) doesn’t want to protect the Non-Senate confirmed Special Counsel he wants to protect his future after being unelectable in Arizona for the “crime” of doing a terrible job! A weak and ineffective guy!,11-09-2018 17:10:02,20428,82374,FALSE,1.06094260099405E+018
Twitter for iPhone,As soon as Democrats sent their best Election stealing lawyer Marc Elias to Broward County they miraculously started finding Democrat votes. Don’t worry Florida - I am sending much better lawyers to expose the FRAUD!,11-09-2018 16:52:19,42887,132105,FALSE,1.06093814433637E+018
Twitter for iPhone,You mean they are just now finding votes in Florida and Georgia – but the Election was on Tuesday? Let’s blame the Russians and demand an immediate apology from President Putin!,11-09-2018 15:58:56,41546,148490,FALSE,1.06092470810164E+018
Twitter for iPhone,.@BrianKempGA ran a great race in Georgia – he won. It is time to move on!,11-09-2018 15:55:25,19999,82574,FALSE,1.06092382285188E+018
